Date,Text
10-01-2023,[]
10-02-2023,[]
10-03-2023,[]
10-04-2023,"['10 квітня Верховна Рада звільнила керівника Рахункової палати – органу, який контролює надходження і витрати державного бюджету. Місце Валерія Пацкана, імовірно, займе колишній заступник міністра фінансів Геннадій Пліс.', 'В умовах війни, коли видатки бюджету шалено ростуть, незалежність, прозорість та підзвітність Рахункової палати (РП) має особливе значення.', 'Особливо важливу роль вона відіграватиме в повоєнній відбудові України – на відновлення держави можуть витратити понад 700 млрд дол.', 'Хто і як керує Рахунковою палатою? Як цей орган може впливати на владні інституції та чи можна змінити його роботу до того, як держава почне витрачати сотні мільярдів на відновлення?', 'Призначення членів Рахункової палати, особливо її керівника, завжди супроводжується складними політичними ""торгами"" і гучними звільненнями попередників.', 'Так, у 2018 році ексголова РП Роман Магута йшов з посади з підозрою в зловживанні владою від НАБУ. Його звинувачували в махінаціях із службовим житлом на 1,5 млн грн. Щоправда, днями його виправдали.', 'Схожа доля спіткала колишнього голову РП Валерія Пацкана, якому восени 2022 року НАБУ оголосило підозру за незаконне одержання 117,65 тис грн компенсації за житло. Після цього він подав до парламенту заяву про звільнення.', 'Пізніше він її відкликав, адже не було зрозуміло, чи залишиться він членом палати після звільнення з посади. У грудні депутати зареєстрували проєкт постанови про висловлення недовіри голові РП. З другої спроби її ухвалили.', 'Проте палата – це не лише голова. За законом, це колегіальний орган, до якого входять 13 осіб. Зараз, крім голови, там працюють заступник і сім членів.', 'Сьомого члена, Геннадія Пліса, парламент призначив у грудні 2022 року. У кулуарах парламенту кажуть, що саме він може очолити цей орган.', 'Наразі вакантні чотири посади членів, а у 2024 році шість членів РП необхідно переобрати.', 'Відсутність чотирьох членів Рахункової палати створює неабиякі ризики для інституції. Конкурси на їх призначення парламент не оголошує, а якщо й оголошує, то затягує їх проведення.', 'Крім Пліса, востаннє членів РП призначали у 2018 році, а один з них, Цезар Огонь, досягнув 65-річного віку і за законом мав би піти з посади. Проте його досі не звільнили.', 'Враховуючи ці проблеми, зволікання з наповненням органу необхідною кількістю членів може ускладнити нормальне функціонування Рахункової палати.', '', 'РП щороку проводить аудити ефективності та фінансові аудити, аналізує виконання держбюджету. Працює орган у режимі засідань. На них відповідальний член РП представляє звіт, який затверджується колегіальним рішенням.', 'Палата може впливати на діяльність усіх органів влади. У 2020 році вона виявила неефективність роботи АРМА в управлінні арештованими активами, а у 2021 році – недоліки у сфері охорони здоров’я.', 'У 2021 році РП затвердила 63 звіти, перевірила 490 об’єктів та витрати на понад 590 млрд грн. Звіт за 2022 рік ще не опублікований.', 'Аудити та звіти РП стають приводом для порушення кримінальних проваджень та застосування дисциплінарних стягнень щодо тих, хто неналежно витрачає бюджетні кошти. Крім того, виявлені недоліки можуть стати підставою для змін у певній сфері та вдосконалення законодавства.', 'Неформально звіти РП можуть бути дієвим інструментом політичної боротьби, політичного тиску на державні органи та економічного тиску на бізнес.', 'Що цьому сприяє? Як показує дослідження Інституту законодавчих ідей, РП має критичні недоліки, які сприяють зловживанням.', 'Перший – відсутність порядку планування роботи Рахункової палати та часті зміни плану перевірок. Це сприяє тому, що окремі органи проходили перевірки кілька разів поспіль за відсутності зрозумілих підстав, а інші їх не проходять.', 'Пропозиції до цього плану вносять члени Рахункової палати на власний розсуд, часто без належного обґрунтування. Не раз це було предметом публічної критики.', 'Другий – відсутність методик, які б встановлювали критерії ефективності або неефективності використання бюджетних коштів.', 'Для розуміння: у 2023 році планується провести 39 аудитів ефективності. Відсутність порядку їх проведення призведе до того, що вони будуть різні за обсягом, структурою та якістю, як це відбувається зараз.', 'Наприклад, аудит ДП ""Прозорро.Продажі"" свого часу викликав резонанс, адже підвищення зарплат стало однією з підстав для ухвалення рішення про неефективне використання коштів.', 'Третій недолік – інституційний аспект діяльності РП. За кожним її членом закріплені окремі напрями діяльності, тож один і той же член палати проводить аудити одних і тих же державних органів.', 'З одного боку, це дозволяє глибше вникнути в суть роботи, а з іншого – може негативно вплинути на об’єктивність при оцінці фактів та сприяти налагодженню приязних стосунків з представниками об’єктів контролю.', 'Четвертий – продуктивність. За грубими підрахунками, середня вартість одного аудиту становить 18 млн грн. При цьому низка важливих аудитів у минулі роки не була завершена.', 'Відсутність фінального рішення за звітами ставить питання про витрачені часові, людські та фінансові ресурси на проведення аудитів. Ресурси витрачаються, а результат відсутній.', 'До того ж далеко не всі члени нинішнього складу РП відвідували засідання у 2022 році. Це вплинуло на кількість затверджених звітів за результатами аудиту і на роботу органу загалом.', 'Рахункова палата працює від імені Верховної Ради. Парламент призначає та звільняє членів цього органу і контролює його діяльність.', 'Однак на практиці виникають проблеми. Вони пов’язані з призначенням членів РП, бо це політичне питання. Відсутність згоди щодо кандидатури не дозволяє її призначити.', 'Іншим важливим аспектом є взаємодія палати і парламенту.', ""Зміни до законодавства і здійснення парламентського контролю за результатами виявлених порушень – обов'язок комітетів. Однак лише пʼять з 15 комітетів розглядали питання за результатами контрольних заходів палати."", 'Це свідчить про те, що депутати часто байдужі до діяльності палати. Саме тому відповідальність за роботу органу і його ефективність покладена не лише на голову РП, а й на всіх її членів та парламент.', '', 'Перший крок – обрання нових членів Рахункової палати на прозорому та відкритому конкурсі. Верховна Рада має обрати професіоналів з необхідним досвідом та навичками, які є політично нейтральними та незаангажованими.', 'Це в майбутньому вплине на якість проведення ними аудитів бюджету. Особливо використання коштів, отриманих на відбудову України від партнерів, та коштів, конфіскованих в агресора.', 'Другий – Рахункова палата має затвердити всі внутрішні документи для проведення аудитів. Починаючи від планування до методик їх проведення.', 'Це підвищить ефективність здійснення аудитів, прозорість та підзвітність органу. Крім того, це обмежить широкі повноваження членів палати та дозволить уніфікувати їх діяльність.', 'Третє – Рахункова палата повинна підвищувати ефективність співпраці з парламентом.', 'З одного боку, Верховна Рада має виявляти більше уваги до висновків РП та вживати необхідні заходи в межах реалізації своєї контрольної функції. З іншого боку, сама палата має ініціювати розширення співпраці з парламентом.']"
10-05-2023,[]
10-06-2023,[]
10-07-2023,[]
10-08-2023,[]
10-09-2023,[]
10-10-2023,[]
10-11-2023,[]
